Punto Inicial,Punto Final,Distancia (m)
"(np.float64(434461.78137276333), np.float64(4812394.947545796))","(np.float64(434456.1445813453), np.float64(4812397.668019558))",6.258945197332924
"(np.float64(434456.1445813453), np.float64(4812397.668019558))","(np.float64(434453.8881374), np.float64(4812398.578517744))",2.4332172581184106
"(np.float64(434453.8881374), np.float64(4812398.578517744))","(np.float64(434451.6306136184), np.float64(4812399.37795878))",2.3948944849610667
"(np.float64(434451.6306136184), np.float64(4812399.37795878))","(np.float64(434445.34125985776), np.float64(4812401.549448167))",6.653670932933916
"(np.float64(434445.34125985776), np.float64(4812401.549448167))","(np.float64(434443.49145931465), np.float64(4812402.678130319))",2.166953033717653
"(np.float64(434443.49145931465), np.float64(4812402.678130319))","(np.float64(434441.7225552831), np.float64(4812403.806025865))",2.0978965259831224
"(np.float64(434441.7225552831), np.float64(4812403.806025865))","(np.float64(434436.48377434217), np.float64(4812405.856233206))",5.6256711500607715
"(np.float64(434436.48377434217), np.float64(4812405.856233206))","(np.float64(434434.3028279444), np.float64(4812406.21066127))",2.2095579744715703
"(np.float64(434434.3028279444), np.float64(4812406.21066127))","(np.float64(434428.50318421173), np.float64(4812408.8216749355))",6.360287712738867
"(np.float64(434428.50318421173), np.float64(4812408.8216749355))","(np.float64(434426.4915967767), np.float64(4812409.951936382))",2.3073740368383624
"(np.float64(434426.4915967767), np.float64(4812409.951936382))","(np.float64(434424.4001950852), np.float64(4812411.194043681))",2.4324455960589106
"(np.float64(434424.4001950852), np.float64(4812411.194043681))","(np.float64(434420.0501976374), np.float64(4812413.124545452))",4.759129635169421
"(np.float64(434420.0501976374), np.float64(4812413.124545452))","(np.float64(434418.19499947253), np.float64(4812413.697945075))",1.94178973077329
"(np.float64(434418.19499947253), np.float64(4812413.697945075))","(np.float64(434412.6304879001), np.float64(4812415.52920495))",5.858097111519722
"(np.float64(434412.6304879001), np.float64(4812415.52920495))","(np.float64(434410.3708122274), np.float64(4812416.106544115))",2.3322638480814484
"(np.float64(434410.3708122274), np.float64(4812416.106544115))","(np.float64(434408.1931138301), np.float64(4812416.794154432))",2.2836764783399293
"(np.float64(434408.1931138301), np.float64(4812416.794154432))","(np.float64(434403.19055249833), np.float64(4812418.175677848))",5.189819537158141
"(np.float64(434403.19055249833), np.float64(4812418.175677848))","(np.float64(434400.7647619026), np.float64(4812418.310363766))",2.429526766812006
"(np.float64(434400.7647619026), np.float64(4812418.310363766))","(np.float64(434396.41477556597), np.float64(4812420.240880938))",4.759125726666055
"(np.float64(434396.41477556597), np.float64(4812420.240880938))","(np.float64(434394.5574184913), np.float64(4812420.592171288))",1.8902857489715805
